,vel 0,Pres 0,FMat 0,FMatRem 0,Visc 0,vel 1,Pres 1,FMat 1,FMatRem 1,Visc 1
1724,-6.28458789584985e-08,321042.0231871733,-0.17565912306987538,-0.17509318550473488,0.002,-6.30044717549299e-08,321142.8810737773,-0.175093154002499,-0.17439481479380414,0.002
1725,-6.271674881497519e-08,321037.42409342615,-0.1757590250682371,-0.17519306032796278,0.002,-6.287744842700049e-08,321138.2829416118,-0.17519302888923857,-0.17449468212389121,0.002
1726,-6.258751634006872e-08,321032.83629060496,-0.17585892717812351,-0.1752929352939214,0.002,-6.275031940071668e-08,321133.6960977609,-0.1752929039187617,-0.17459454945397823,0.002
1727,-6.245818165271345e-08,321028.259790927,-0.17595882939934473,-0.17539281040236687,0.002,-6.262308479835112e-08,321129.1205544413,-0.17539277909082449,-0.1746944167840653,0.002
1728,-6.232874487187146e-08,321023.6946065949,-0.17605873173171124,-0.175492685653056,0.002,-6.249574474392064e-08,321124.55632385483,-0.17549265440518363,-0.1747942841141524,0.002
1729,-6.219920611597139e-08,321019.1407497965,-0.176158634175034,-0.17559256104574597,0.002,-6.236829936064976e-08,321120.0034181884,-0.1755925298615963,-0.17489415144423942,0.002
1730,-6.20695655046586e-08,321014.59823270515,-0.17625853672912434,-0.1756924365801947,0.002,-6.224074876977583e-08,321115.4618496145,-0.17569240545982032,-0.17499401877432647,0.002
1731,-6.1939823158217e-08,321010.067067479,-0.176358439393794,-0.17579231225616052,0.002,-6.211309309604471e-08,321110.93163029087,-0.17579228119961396,-0.17509388610441354,0.002
1732,-6.180997919491477e-08,321005.54726626177,-0.1764583421688553,-0.17589218807340237,0.002,-6.198533246311308e-08,321106.41277236014,-0.17589215708073613,-0.1751937534345006,0.002
1733,-6.168003373366956e-08,321001.03884118237,-0.17655824505412077,-0.17599206403167972,0.002,-6.185746699263682e-08,321101.90528795053,-0.17599203310294623,-0.17529362076458765,0.002
1734,-6.15499868937335e-08,320996.54180435505,-0.17665814804940358,-0.1760919401307526,0.002,-6.172949680807209e-08,321097.4091891755,-0.1760919092660042,-0.17539348809467473,0.002
1735,-6.141983879438365e-08,320992.0561678793,-0.17675805115451712,-0.1761918163703816,0.002,-6.160142203203319e-08,321092.9244881338,-0.17619178556967058,-0.1754933554247618,0.002
1736,-6.128958955351908e-08,320987.58194383996,-0.17685795436927532,-0.17629169275032777,0.002,-6.147324278719265e-08,321088.45119690953,-0.17629166201370639,-0.17559322275484884,0.002
1737,-6.115923929110388e-08,320983.11914430733,-0.1769578576934925,-0.1763915692703528,0.002,-6.13449591962791e-08,321083.98932757205,-0.17639153859787318,-0.17569309008493592,0.002
1738,-6.102878812599403e-08,320978.66778133664,-0.17705776112698343,-0.1764914459302189,0.002,-6.12165713823335e-08,321079.5388921762,-0.17649141532193321,-0.17579295741502296,0.002
1739,-6.089823617532817e-08,320974.2278669689,-0.17715766466956326,-0.17659132272968875,0.002,-6.108807946844699e-08,321075.09990276187,-0.176591292185649,-0.17589282474511003,0.002
1740,-6.076758355922316e-08,320969.7994132303,-0.17725756832104753,-0.17669119966852562,0.002,-6.095948357691822e-08,321070.67237135454,-0.17669116918878383,-0.1759926920751971,0.002
1741,-6.063683039607886e-08,320965.3824321324,-0.1773574720812523,-0.17679107674649336,0.002,-6.083078382946468e-08,321066.2563099649,-0.17679104633110143,-0.17609255940528415,0.002
1742,-6.05059768040463e-08,320960.97693567205,-0.17745737594999392,-0.17689095396335622,0.002,-6.0701980349022e-08,321061.85173058935,-0.17689092361236605,-0.17619242673537122,0.002
1743,-6.037502290338575e-08,320956.5829358316,-0.17755727992708917,-0.17699083131887908,0.002,-6.057307325919274e-08,321057.4586452092,-0.17699080103234244,-0.17629229406545827,0.002
1744,-6.024396881176294e-08,320952.20044457854,-0.1776571840123554,-0.17709070881282737,0.002,-6.044406268183832e-08,321053.07706579135,-0.17709067859079602,-0.17639216139554534,0.002
1745,-6.011281464716753e-08,320947.82947386603,-0.17775708820561015,-0.177190586444967,0.002,-6.031494873915497e-08,321048.7070042881,-0.1771905562874926,-0.17649202872563236,0.002
1746,-5.998156052970222e-08,320943.47003563243,-0.1778569925066715,-0.17729046421506436,0.002,-6.018573155458665e-08,321044.3484726371,-0.17729043412219858,-0.17659189605571946,0.002
1747,-5.985020657600079e-08,320939.12214180146,-0.17795689691535796,-0.17739034212288654,0.002,-6.005641124954223e-08,321040.00148276135,-0.17739031209468092,-0.17669176338580653,0.002
1748,-5.9718752904208e-08,320934.78580428264,-0.1780568014314883,-0.17749022016820093,0.002,-5.992698794578301e-08,321035.6660465695,-0.17749019020470697,-0.17679163071589354,0.002
1749,-5.958719963513147e-08,320930.4610349706,-0.17815670605488187,-0.1775900983507756,0.002,-5.979746176744918e-08,321031.34217595536,-0.17759006845204472,-0.17689149804598064,0.002
1750,-5.945554688640555e-08,320926.1478457452,-0.17825661078535832,-0.17768997667037906,0.002,-5.96678328361005e-08,321027.0298827982,-0.17768994683646264,-0.17699136537606772,0.002
1751,-5.932379477485928e-08,320921.8462484721,-0.17835651562273772,-0.1777898551267804,0.002,-5.953810127364611e-08,321022.7291789629,-0.17778982535772975,-0.17709123270615473,0.002
1752,-5.9191943418521993e-08,320917.5562550024,-0.17845642056684055,-0.17788973371974917,0.002,-5.9408267201133255e-08,321018.44007629954,-0.17788970401561557,-0.1771911000362418,0.002
1753,-5.905999293750855e-08,320913.27787717263,-0.1785563256174877,-0.17798961244905545,0.002,-5.927833074261469e-08,321014.1625866442,-0.17798958280989008,-0.17729096736632885,0.002
1754,-5.892794345050297e-08,320909.01112680446,-0.17865623077450046,-0.17808949131446997,0.002,-5.914829202068208e-08,321009.8967218175,-0.17808946174032395,-0.17739083469641595,0.002
1755,-5.8795795073650775e-08,320904.7560157053,-0.1787561360377005,-0.1781893703157637,0.002,-5.901815115507884e-08,321005.64249362634,-0.17818934080668813,-0.177490702026503,0.002
1756,-5.866354792574291e-08,320900.51255566813,-0.17885604140690994,-0.1782892494527084,0.002,-5.8887908268809084e-08,321001.3999138628,-0.17828922000875427,-0.17759056935659004,0.002
1757,-5.853120212558417e-08,320896.2807584712,-0.17895594688195124,-0.17838912872507615,0.002,-5.875756348431427e-08,320997.16899430455,-0.1783890993462944,-0.1776904366866771,0.002
1758,-5.839875779090917e-08,320892.0606358784,-0.17905585246264724,-0.17848900813263963,0.002,-5.86271169232361e-08,320992.94974671456,-0.17848897881908116,-0.17779030401676416,0.002
1759,-5.8266215038891716e-08,320887.852199639,-0.17915575814882126,-0.178588887675172,0.002,-5.84965687078053e-08,320988.7421828415,-0.17858885842688765,-0.17789017134685123,0.002
1760,-5.813357398762222e-08,320883.65546148806,-0.1792556639402969,-0.17868876735244693,0.002,-5.836591896003686e-08,320984.5463144194,-0.17868873816948744,-0.1779900386769383,0.002
1761,-5.8000834754944635e-08,320879.4704331459,-0.17935556983689832,-0.17878864716423862,0.002,-5.8235167800235524e-08,320980.36215316795,-0.17878861804665472,-0.1780899060070254,0.002
1762,-5.78679974596253e-08,320875.29712631856,-0.17945547583844987,-0.17888852711032174,0.002,-5.8104315351064835e-08,320976.18971079245,-0.17888849805816406,-0.17818977333711242,0.002
1763,-5.773506222045583e-08,320871.13555269735,-0.17955538194477644,-0.1789884071904715,0.002,-5.7973361734946154e-08,320972.0289989835,-0.17898837820379063,-0.1782896406671995,0.002
1764,-5.76020291525177e-08,320866.9857239592,-0.1796552881557032,-0.17908828740446353,0.002,-5.784230707260329e-08,320967.8800294174,-0.17908825848331,-0.17838950799728653,0.002
1765,-5.7468898374703305e-08,320862.8476517671,-0.17975519447105584,-0.17918816775207405,0.002,-5.771115148568716e-08,320963.74281375605,-0.17918813889649832,-0.17848937532737355,0.002
1766,-5.733567000478392e-08,320858.7213477688,-0.17985510089066029,-0.17928804823307978,0.002,-5.7579895096444203e-08,320959.61736364686,-0.17928801944313225,-0.17858924265746065,0.002
1767,-5.720234415970206e-08,320854.6068235984,-0.17995500741434303,-0.17938792884725785,0.002,-5.744853802659572e-08,320955.50369072275,-0.17938790012298883,-0.17868910998754772,0.002
1768,-5.706892095875815e-08,320850.50409087504,-0.18005491404193072,-0.17948780959438596,0.002,-5.731708039704978e-08,320951.40180660225,-0.17948778093584575,-0.17878897731763474,0.002
1769,-5.6935400518711583e-08,320846.4131612036,-0.18015482077325062,-0.17958769047424228,0.002,-5.718552232902965e-08,320947.3117228896,-0.17958766188148112,-0.1788888446477218,0.002
1770,-5.680178295545872e-08,320842.33404617466,-0.18025472760813022,-0.1796875714866055,0.002,-5.7053863943213335e-08,320943.2334511746,-0.1796875429596735,-0.1789887119778089,0.002
1771,-5.666806838700037e-08,320838.26675736456,-0.1803546345463974,-0.17978745263125473,0.002,-5.692210536150556e-08,320939.16700303275,-0.17978742417020205,-0.17908857930789598,0.002
1772,-5.653425693223311e-08,320834.211306335,-0.1804545415878806,-0.17988733390796968,0.002,-5.679024670670043e-08,320935.11239002505,-0.17988730551284632,-0.17918844663798303,0.002
1773,-5.6400348708635804e-08,320830.1677046333,-0.1805544487324084,-0.1799872153165304,0.002,-5.6658288100204066e-08,320931.069623698,-0.17998718698738633,-0.1792883139680701,0.002
1774,-5.626634383288258e-08,320826.13596379245,-0.18065435597980986,-0.1800870968567176,0.002,-5.652622966142477e-08,320927.0387155838,-0.18008706859360277,-0.17938818129815715,0.002
1775,-5.6132242421984e-08,320822.11609533115,-0.1807542633299144,-0.1801869785283123,0.002,-5.639407151095983e-08,320923.0196772006,-0.18018695033127655,-0.1794880486282442,0.002
1776,-5.599804459267772e-08,320818.1081107537,-0.18085417078255192,-0.1802868603310962,0.002,-5.626181377150728e-08,320919.01252005197,-0.18028683220018932,-0.17958791595833123,0.002
1777,-5.586375046145243e-08,320814.1120215503,-0.18095407833755256,-0.18038674226485132,0.002,-5.6129456562868725e-08,320915.01725562714,-0.18038671420012303,-0.1796877832884183,0.002
1778,-5.572936014659947e-08,320810.1278391967,-0.1810539859947469,-0.18048662432936022,0.002,-5.599700000694736e-08,320911.0338954013,-0.18048659633086023,-0.17978765061850535,0.002
1779,-5.559487376559489e-08,320806.15557515423,-0.18115389375396582,-0.18058650652440594,0.002,-5.5864444225103425e-08,320907.0624508348,-0.18058647859218382,-0.17988751794859242,0.002
1780,-5.546029143504368e-08,320802.19524086994,-0.18125380161504076,-0.180686388849772,0.002,-5.573178933727726e-08,320903.1029333741,-0.18068636098387733,-0.17998738527867952,0.002
1781,-5.532561327132488e-08,320798.24684777664,-0.18135370957780325,-0.1807862713052424,0.002,-5.5599035464915244e-08,320899.1553544513,-0.18078624350572467,-0.1800872526087665,0.002
1782,-5.519083939175639e-08,320794.3104072929,-0.18145361764208545,-0.18088615389060167,0.002,-5.546618272861489e-08,320895.219725484,-0.18088612615751032,-0.1801871199388536,0.002
1783,-5.505596991451469e-08,320790.38593082293,-0.1815535258077198,-0.18098603660563467,0.002,-5.533323124989347e-08,320891.29605787585,-0.18098600893901903,-0.18028698726894068,0.002
1784,-5.492100495465203e-08,320786.4734297565,-0.181653434074539,-0.18108591945012686,0.002,-5.520018114800591e-08,320887.3843630158,-0.1810858918500363,-0.18038685459902778,0.002
1785,-5.478594462873955e-08,320782.57291546953,-0.18175334244237623,-0.18118580242386417,0.002,-5.506703254366378e-08,320883.4846522792,-0.1811857748903479,-0.18048672192911483,0.002
1786,-5.465078905451551e-08,320778.6843993234,-0.18185325091106508,-0.1812856855266329,0.002,-5.4933785558523316e-08,320879.5969370265,-0.18128565805974012,-0.18058658925920185,0.002
1787,-5.451553834859207e-08,320774.80789266544,-0.18195315948043939,-0.18138556875821998,0.002,-5.4800440313106585e-08,320875.72122860426,-0.18138554135799984,-0.18068645658928895,0.002
1788,-5.438019262767237e-08,320770.94340682845,-0.1820530681503334,-0.18148545211841266,0.002,-5.466699692796634e-08,320871.85753834463,-0.1814854247849142,-0.180786323919376,0.002
1789,-5.42447520072858e-08,320767.09095313126,-0.1821529769205818,-0.18158533560699874,0.002,-5.453345552283437e-08,320868.00587756565,-0.18158530834027098,-0.18088619124946304,0.002
1790,-5.410921660563295e-08,320763.2505428785,-0.1822528857910195,-0.18168521922376643,0.002,-5.4399816218646764e-08,320864.16625757114,-0.18168519202385833,-0.18098605857955008,0.002
1791,-5.3973586538651595e-08,320759.4221873603,-0.18235279476148186,-0.18178510296850448,0.002,-5.426607913608973e-08,320860.33868965064,-0.1817850758354649,-0.18108592590963712,0.002
1792,-5.383786192173469e-08,320755.6058978529,-0.18245270383180456,-0.18188498684100202,0.002,-5.413224439472202e-08,320856.5231850795,-0.1818849597748798,-0.18118579323972422,0.002
1793,-5.3702042872031146e-08,320751.8016856183,-0.1825526130018238,-0.18198487084104872,0.002,-5.399831211443951e-08,320852.71975511906,-0.18198484384189267,-0.1812856605698113,0.002
1794,-5.356612950499685e-08,320748.00956190424,-0.1826525222713758,-0.18208475496843468,0.002,-5.386428241660707e-08,320848.92841101636,-0.18208472803629347,-0.18138552789989834,0.002
1795,-5.343012193820694e-08,320744.2295379445,-0.18275243164029745,-0.1821846392229504,0.002,-5.3730155421218717e-08,320845.14916400413,-0.18218461235787267,-0.18148539522998539,0.002
1796,-5.329402028804969e-08,320740.46162495826,-0.18285234110842588,-0.18228452360438696,0.002,-5.359593124769838e-08,320841.38202530117,-0.18228449680642134,-0.18158526256007249,0.002
1797,-5.315782466868464e-08,320736.70583415095,-0.18295225067559853,-0.18238440811253578,0.002,-5.34616100157955e-08,320837.627006112,-0.18238438138173077,-0.18168512989015953,0.002
1798,-5.302153519689339e-08,320732.9621767139,-0.18305216034165334,-0.18248429274718883,0.002,-5.332719184561094e-08,320833.8841176272,-0.18248426608359292,-0.1817849972202466,0.002
